location_id,timestamp,precipitation_rate_mm_hr,pore_pressure_kpa,subsurface_displacement_mm,ground_acceleration_g,realtime_water_table_m,cumulative_precip_72hr,cumulative_precip_168hr,ucs_mpa,seismic_zone,pga_g,initial_water_table_m,rockfall_event,3d_surface_coord_x,3d_surface_coord_y,3d_surface_coord_z
Zone_D,2025-07-22 20:37:12.259652,9.7634,2590.5613,396.7476,0.0,264.0735,709.8554,1488.0681,158.4,II,0.22,18.0,0,476.0971,456.2597,515.7719
Zone_A,2025-06-25 18:37:12.259652,13.0458,2243.618,194.5575,0.0054,228.7072,534.6691,1256.7633,90.4,IV,0.49,25.0,0,233.469,223.7411,252.9247
Zone_B,2025-05-24 15:37:12.259652,0.0,426.3602,53.7214,0.0004,43.4618,106.2358,229.8046,97.1,IV,0.48,21.4,0,64.4657,61.7797,69.8379
Zone_B,2025-08-11 05:37:12.259652,0.0,2478.627,540.4995,0.0064,252.6633,600.8034,1409.789,97.1,IV,0.48,21.4,0,648.5995,621.5745,702.6494
Zone_B,2025-05-28 06:37:12.259652,2.4147,429.2604,58.4738,0.0174,43.7574,105.7036,241.7001,97.1,IV,0.48,21.4,0,70.1685,67.2448,76.0159
Zone_C,2025-09-15 14:37:12.259652,7.3517,2422.9066,794.8882,0.0009,246.9833,541.247,1371.4155,123.0,II,0.19,15.8,0,953.8659,914.1215,1033.3547
Zone_A,2025-09-07 09:37:12.259652,4.9488,2438.0109,727.6421,0.0004,248.523,543.8048,1379.0841,90.4,IV,0.49,25.0,0,873.1705,836.7884,945.9347
Zone_C,2025-05-17 03:37:12.259652,0.0,413.1146,40.6027,0.0094,42.1116,117.7524,234.8203,123.0,II,0.19,15.8,0,48.7233,46.6931,52.7836
Zone_D,2025-05-13 09:37:12.259652,1.478,402.729,39.9299,0.0231,41.0529,90.3377,219.6448,158.4,II,0.22,18.0,0,47.9159,45.9194,51.9089
Zone_B,2025-05-16 06:37:12.259652,3.5602,452.0105,42.8666,0.0004,46.0765,129.2289,270.5857,97.1,IV,0.48,21.4,0,51.44,49.2966,55.7266
Zone_D,2025-07-21 09:37:12.259652,11.4911,2510.6068,385.5882,0.0092,255.9232,642.6547,1422.7722,158.4,II,0.22,18.0,0,462.7058,443.4264,501.2646
Zone_A,2025-07-04 07:37:12.259652,5.1015,2382.946,253.4436,0.0023,242.9099,630.683,1364.3753,90.4,IV,0.49,25.0,0,304.1324,291.4602,329.4767
Zone_C,2025-05-02 20:37:12.259652,0.3635,383.3602,23.9115,0.0018,39.0785,88.5264,233.025,123.0,II,0.19,15.8,0,28.6938,27.4982,31.085
Zone_B,2025-07-16 04:37:12.259652,10.122,2459.046,350.1493,0.005,250.6673,586.733,1388.4023,97.1,IV,0.48,21.4,0,420.1791,402.6716,455.194
Zone_D,2025-08-12 00:37:12.259652,12.6252,2500.5631,546.1385,0.0003,254.8994,613.9558,1439.0806,158.4,II,0.22,18.0,0,655.3662,628.0593,709.9801
Zone_A,2025-04-12 08:37:12.259652,3.9293,290.3043,3.0989,0.0055,29.5927,91.9248,106.259,90.4,IV,0.49,25.0,0,3.7187,3.5638,4.0286
Zone_A,2025-06-16 10:37:12.259652,6.417,2125.3955,132.3339,0.0001,216.656,567.2429,1381.8194,90.4,IV,0.49,25.0,0,158.8007,152.184,172.0341
Zone_C,2025-06-03 12:37:12.259652,20.8569,1031.4992,64.4912,0.0023,105.1477,557.0703,713.4157,123.0,II,0.19,15.8,0,77.3894,74.1648,83.8385
Zone_B,2025-04-18 02:37:12.259652,3.3424,331.2546,8.6257,0.015,33.767,83.3314,231.1137,97.1,IV,0.48,21.4,0,10.3508,9.9196,11.2134
Zone_B,2025-04-16 10:37:12.259652,0.6296,337.2845,6.9223,0.0019,34.3817,94.5305,238.4538,97.1,IV,0.48,21.4,0,8.3068,7.9607,8.999
Zone_D,2025-06-26 16:37:12.259652,11.31,2386.3669,205.4178,0.0,243.2586,594.5612,1342.4583,158.4,II,0.22,18.0,0,246.5014,236.2305,267.0432
Zone_B,2025-05-15 14:37:12.259652,2.7176,436.9509,41.9653,0.0002,44.5414,121.0031,253.4267,97.1,IV,0.48,21.4,0,50.3584,48.2601,54.5549
Zone_A,2025-05-19 08:37:12.259652,2.3862,428.5006,46.2069,0.0002,43.68,109.9915,257.9084,90.4,IV,0.49,25.0,0,55.4483,53.138,60.069
Zone_C,2025-04-30 11:37:12.259652,1.1111,376.6334,21.2293,0.0001,38.3928,96.6339,207.8436,123.0,II,0.19,15.8,0,25.4751,24.4137,27.5981
Zone_A,2025-07-14 19:37:12.259652,6.7218,2449.7716,330.4266,0.0,249.7219,535.9342,1425.1405,90.4,IV,0.49,25.0,0,396.5119,379.9906,429.5546
Zone_A,2025-08-27 03:37:12.259652,6.5431,2413.2087,645.1146,0.0002,245.9948,548.9075,1408.654,90.4,IV,0.49,25.0,0,774.1376,741.8818,838.649
Zone_D,2025-07-02 21:37:12.259652,3.8427,2447.5165,250.1726,0.0005,249.492,622.2163,1350.0718,158.4,II,0.22,18.0,0,300.2071,287.6985,325.2244
Zone_B,2025-06-06 22:37:12.259652,4.609,1535.3097,81.1334,0.0157,156.5046,656.9435,1250.9655,97.1,IV,0.48,21.4,0,97.3601,93.3034,105.4735
Zone_C,2025-08-10 20:37:12.259652,2.45,2443.0849,529.6164,0.0033,249.0403,598.0085,1376.7417,123.0,II,0.19,15.8,0,635.5397,609.0588,688.5013
Zone_D,2025-06-30 18:37:12.259652,9.4449,2430.6781,234.666,0.0058,247.7755,643.0804,1393.5442,158.4,II,0.22,18.0,0,281.5992,269.8659,305.0658
Zone_C,2025-10-04 06:37:12.259652,0.0,1785.5577,927.2339,0.006,182.014,115.6234,829.1662,123.0,II,0.19,15.8,0,1112.6807,1066.319,1205.4041
Zone_B,2025-07-13 18:37:12.259652,3.0096,2439.0209,332.2902,0.0004,248.626,622.5279,1340.0474,97.1,IV,0.48,21.4,0,398.7483,382.1338,431.9773
Zone_B,2025-06-14 12:37:12.259652,7.5497,2145.4202,124.2193,0.0125,218.6973,627.3408,1462.6562,97.1,IV,0.48,21.4,0,149.0631,142.8522,161.4851
Zone_A,2025-07-19 00:37:12.259652,6.6747,2521.9461,362.0519,0.0004,257.0791,611.9837,1385.6856,90.4,IV,0.49,25.0,0,434.4623,416.3597,470.6675
Zone_D,2025-06-07 05:37:12.259652,4.844,1517.3177,83.0577,0.0005,154.6705,588.0478,1277.9063,158.4,II,0.22,18.0,0,99.6692,95.5163,107.975
Zone_B,2025-08-12 12:37:12.259652,15.6943,2523.3098,550.1655,0.0049,257.2181,637.8978,1452.8597,97.1,IV,0.48,21.4,0,660.1986,632.6904,715.2152
Zone_B,2025-06-25 07:37:12.259652,16.7759,2366.7139,196.6228,0.0108,241.2552,620.4407,1415.8293,97.1,IV,0.48,21.4,0,235.9474,226.1162,255.6096
Zone_C,2025-05-24 13:37:12.259652,0.0109,405.4243,49.842,0.0013,41.3277,97.7549,228.2297,123.0,II,0.19,15.8,0,59.8103,57.3182,64.7945
Zone_A,2025-04-20 20:37:12.259652,2.8197,369.3972,11.9794,0.0083,37.6552,89.646,229.1268,90.4,IV,0.49,25.0,0,14.3753,13.7763,15.5732
Zone_B,2025-06-29 09:37:12.259652,10.0575,2471.1348,226.0649,0.0082,251.8996,654.8576,1457.4362,97.1,IV,0.48,21.4,0,271.2778,259.9746,293.8843
Zone_B,2025-07-18 04:37:12.259652,11.5981,2453.6141,364.885,0.0,250.1136,567.7965,1385.1997,97.1,IV,0.48,21.4,0,437.862,419.6178,474.3505
Zone_D,2025-05-11 01:37:12.259652,0.0,413.4808,37.0207,0.0003,42.1489,87.796,219.3953,158.4,II,0.22,18.0,0,44.4249,42.5739,48.127
Zone_C,2025-04-24 17:37:12.259652,0.0,352.4295,14.7654,0.0027,35.9255,83.6265,201.8534,123.0,II,0.19,15.8,0,17.7184,16.9802,19.195
Zone_D,2025-09-28 08:37:12.259652,6.834,2433.1388,882.3052,0.0013,248.0264,638.7447,1371.3817,158.4,II,0.22,18.0,0,1058.7662,1014.651,1146.9967
Zone_D,2025-05-29 20:37:12.259652,3.7087,419.3044,60.7989,0.0032,42.7426,102.2201,229.035,158.4,II,0.22,18.0,0,72.9587,69.9187,79.0385
Zone_B,2025-07-23 15:37:12.259652,8.3089,2392.8779,405.4147,0.0001,243.9223,511.7541,1337.3111,97.1,IV,0.48,21.4,0,486.4976,466.2269,527.0391
Zone_C,2025-10-01 12:37:12.259652,0.0,2305.3517,910.3979,0.0063,235.0002,502.0811,1253.5555,123.0,II,0.19,15.8,0,1092.4775,1046.9576,1183.5173
Zone_B,2025-06-10 14:37:12.259652,15.6672,1930.971,99.9856,0.0163,196.837,662.8161,1488.4978,97.1,IV,0.48,21.4,0,119.9828,114.9835,129.9813
Zone_C,2025-05-12 01:37:12.259652,0.558,372.4098,34.4273,0.0028,37.9623,90.2612,211.514,123.0,II,0.19,15.8,0,41.3127,39.5914,44.7554
Zone_A,2025-10-05 07:37:12.259652,5.0753,1656.7765,928.6178,0.0222,168.8865,121.2045,750.2089,90.4,IV,0.49,25.0,0,1114.3414,1067.9105,1207.2031
