[ 2025-10-06 00:10:40,216 ] 20 root - INFO - Initiate the data ingestion
[ 2025-10-06 00:10:45,517 ] 67 root - INFO - Performed train test split on the dataframe
[ 2025-10-06 00:10:45,517 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-06 00:10:45,520 ] 71 root - INFO - Exporting train and test file path.
[ 2025-10-06 00:10:45,705 ] 78 root - INFO - Exported train and test file path.
[ 2025-10-06 00:10:45,713 ] 22 root - INFO - Data Initiation Completed
[ 2025-10-06 00:10:45,716 ] 26 root - INFO - Initiate the data Validation
[ 2025-10-06 00:10:45,716 ] 96 root - INFO - --- Starting Data Validation ---
[ 2025-10-06 00:10:45,810 ] 104 root - INFO - Validating number of columns...
[ 2025-10-06 00:10:45,810 ] 51 root - INFO - Schema requires 6 columns.
[ 2025-10-06 00:10:45,810 ] 52 root - INFO - DataFrame has 17 columns.
